team,player,number,pos,season,fpl_game_week_x,mins_played_last,percentage_of_teams_actual_goals_last_5,percentage_of_teams_xg_goals_last_5,percentage_of_teams_actual_assists_last_5,percentage_of_teams_xg_assists_last_5,count,fpl_game_week_y,scored,conceded,cleen_sheet_prob,date,predicted_points_actual,predicted_points_xg
Newcastle Utd,Islam Slimani,13.0,FWD,2017-18,36,31.0,0.0,0.0,0.0,0.086,1,36,1.4174228887647975,0.9874187003969064,0.3448200306177668,2019-04-27,1.0,1.3656951053013178
Newcastle Utd,Islam Slimani,13.0,FWD,2017-18,36,31.0,0.0,0.0,0.0,0.086,1,37,0.8872657324298211,2.016766376082133,0.1371855794553303,2019-05-04,1.0,1.2289145589668937
Newcastle Utd,Islam Slimani,13.0,FWD,2017-18,36,31.0,0.0,0.0,0.0,0.086,1,38,1.278701131456745,1.1729071094911483,0.3035161494403647,2019-05-12,1.0,1.3299048919158403
Newcastle Utd,Jesús Gámez,0.0,DEF,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,36,1.4174228887647975,0.9874187003969064,0.3448200306177668,2019-04-27,0.0,0.0
Newcastle Utd,Jesús Gámez,0.0,DEF,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,37,0.8872657324298211,2.016766376082133,0.1371855794553303,2019-05-04,0.0,0.0
Newcastle Utd,Jesús Gámez,0.0,DEF,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,38,1.278701131456745,1.1729071094911483,0.3035161494403647,2019-05-12,0.0,0.0
Newcastle Utd,Henri Saivet,0.0,MID,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,36,1.4174228887647975,0.9874187003969064,0.3448200306177668,2019-04-27,0.0,0.0
Newcastle Utd,Henri Saivet,0.0,MID,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,37,0.8872657324298211,2.016766376082133,0.1371855794553303,2019-05-04,0.0,0.0
Newcastle Utd,Henri Saivet,0.0,MID,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,38,1.278701131456745,1.1729071094911483,0.3035161494403647,2019-05-12,0.0,0.0
Newcastle Utd,Chancel Mbemba,0.0,DEF,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,36,1.4174228887647975,0.9874187003969064,0.3448200306177668,2019-04-27,0.0,0.0
Newcastle Utd,Chancel Mbemba,0.0,DEF,2017-18,36,0.0,0.0,0.0,0.0,0.0,1,37,0.8872657324298211,2.016766376082133,0.1371855794553303,2019-05-04,0.0,0.0
