team,player,number,pos,season,fpl_game_week_x,mins_played_last,percentage_of_teams_actual_goals_last_5,percentage_of_teams_xg_goals_last_5,percentage_of_teams_actual_assists_last_5,percentage_of_teams_xg_assists_last_5,count,fpl_game_week_y,scored,conceded,cleen_sheet_prob,date,predicted_points_actual,predicted_points_xg
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,3,1.337506234894014,1.3568810630799957,0.27401486933599,2018-08-25,2.0700049879152114,2.0833800502641515
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,4,1.074607891020367,1.9792746904057137,0.1496046276002455,2018-09-02,1.8596863128162937,1.8704323917264971
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,5,0.5439593867559328,2.343002575475208,0.0411372559911666,2018-09-15,1.4351675094047462,1.4406071032723056
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,6,0.4762792624749433,2.4685595922573187,0.0146504981171246,2018-09-22,1.3810234099799548,1.385786202604704
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,7,1.2238472699741154,1.370109705120011,0.2611193571653983,2018-09-30,1.9790778159792923,1.9913162886790334
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,8,0.463834552355139,2.6273451198320705,0.01,2018-10-06,1.3710676418841112,1.3757059874076625
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,9,1.3584576937825186,1.2021156810634368,0.3007372782029647,2018-10-20,2.086766155026015,2.10035073196384
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,10,0.1318309616678661,2.808930580485402,0.01,2018-10-27,1.105464769334293,1.1067830789509716
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,11,1.2088103824260712,1.4966534108880856,0.2394684490280609,2018-11-03,1.967048305940857,1.9791364097651176
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,12,1.3312213821445655,1.2167749120356417,0.2958108624877856,2018-11-10,2.0649771057156525,2.078289319537098
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,13,0.6597995157034234,1.8143031961990872,0.1366236197445629,2018-11-24,1.527839612562739,1.5344376077197728
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,14,1.389663673980651,1.0974938975670931,0.3204183053368001,2018-11-30,2.111730939184521,2.125627575924327
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,15,0.9510029718565556,1.6878454430242191,0.1844569423525962,2018-12-04,1.7608023774852444,1.77031240720381
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,16,1.0691510855027486,1.2826123485754024,0.2604295110748883,2018-12-08,1.855320868402199,1.8660123792572263
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,17,0.5962319292937731,1.761887666193147,0.1389710252691022,2018-12-15,1.4769855434350185,1.4829478627279562
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,18,0.7976100202955444,1.89208798936883,0.1372640405932293,2018-12-22,1.6380880162364355,1.646064116439391
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,19,0.6105870981902766,1.9173476319129128,0.1154866638294637,2018-12-26,1.4884696785522213,1.494575549534124
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,20,0.8148597799063176,1.8319082166044605,0.1485183869569467,2018-12-29,1.6518878239250543,1.6600364217241173
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,21,0.7860458476707629,2.220351006911565,0.0837032049747976,2019-01-01,1.6288366781366104,1.6366971366133178
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,22,1.6401522646085116,0.9303216845583648,0.3708966617803493,2019-01-12,2.3121218116868096,2.3285233343328944
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,23,0.8417158287527824,1.7480364477856931,0.1644704709446373,2019-01-19,1.673372663002226,1.6817898212897537
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,24,0.6447876348985485,2.278659842520024,0.0609848881757633,2019-01-29,1.515830107918839,1.5222779842678242
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,25,1.1130437933607138,1.4897597811141747,0.231486139213194,2019-02-02,1.8904350346885712,1.901565472622178
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,26,0.6719396053828073,1.6146062766915894,0.1696912965171043,2019-02-09,1.537551684306246,1.5442710803600739
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,27,0.92822585740996,1.364676186073206,0.2339461900934898,2019-02-22,1.742580685927968,1.7518629445020677
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,28,0.975489055818672,1.4007873280782073,0.2326580221356015,2019-02-26,1.7803912446549375,1.7901461352131243
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,29,0.9761478058597712,1.4131834376823416,0.230739328345667,2019-03-02,1.780918244687817,1.7906797227464146
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,30,1.266692511971804,1.2743295749033394,0.2804913447436348,2019-03-09,2.0133540095774434,2.0260209346971614
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,2,32,0.8474121364209275,0.4237060682104637,0.7406733213292999,2019-03-31,1.677929709136742,1.6864038305009512
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,2,34,1.6660802414733549,0.8330401207366774,0.7529082897838266,2019-04-13,2.332864193178684,2.349524995593417
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,35,0.4149117257812377,2.362805936362645,0.0257312386473249,2019-04-21,1.3319293806249901,1.3360784978828024
Cardiff City,Oumar Niasse,0.0,FWD,2018-19,3,2.5,0.2,0.13799999999999998,0.0,0.086,1,36,0.9058112944593862,1.478674689976433,0.2136004713717938,2019-04-27,1.724649035567509,1.7337071485121027
