team,player,number,pos,season,fpl_game_week_x,mins_played_last,percentage_of_teams_actual_goals_last_5,percentage_of_teams_xg_goals_last_5,percentage_of_teams_actual_assists_last_5,percentage_of_teams_xg_assists_last_5,count,fpl_game_week_y,scored,conceded,cleen_sheet_prob,date,predicted_points_actual,predicted_points_xg
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,1,0.7855104176269373,2.3103121716990045,0.0681233215315456,2018-08-10,1.0681233215315455,1.162384571646778
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,2,1.8853983599143147,1.0914481458276786,0.3772599209734691,2018-08-18,1.377259920973469,1.6035077241631868
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,3,1.0715441519704296,1.62483421534384,0.2100595749712796,2018-08-25,1.2100595749712797,1.3386448732077312
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,4,1.014410211830396,2.2732341116000487,0.0962873874830768,2018-09-01,1.0962873874830767,1.2180166129027243
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,5,1.3497146708711592,1.725268491012931,0.2199873960012859,2018-09-15,1.219987396001286,1.381953156505825
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,6,1.7435316877734863,0.9562616386955288,0.3862195941107323,2018-09-22,1.3862195941107323,1.5954433966435506
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,7,1.2326087394603853,1.7877003279829775,0.1983199631843351,2018-09-29,1.198319963184335,1.3462330119195813
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,8,1.4579690153211686,1.396773663183664,0.2852398351954422,2018-10-06,1.2852398351954422,1.4601961170339823
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,9,1.06928284937829,2.342924184465062,0.0899157239974532,2018-10-22,1.0899157239974533,1.218229665922848
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,10,1.69124621604971,1.268189080510022,0.3291064057238938,2018-10-27,1.329106405723894,1.532055951649859
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,11,1.5183367506002512,1.3810482770212482,0.2936607051801362,2018-11-03,1.293660705180136,1.4758611152521663
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,12,1.6018809311211424,1.3445773129721186,0.3077709239047427,2018-11-10,1.3077709239047426,1.4999966356392798
Leicester City,Harvey Barnes,0.0,MID,2018-19,1,4.5,0.0,0.024,0.0,0.0,1,13,1.4490560784805924,1.4723296185829065,0.2717658450023968,2018-11-24,1.2717658450023968,1.445652574420068
