team,player,number,pos,season,fpl_game_week_x,mins_played_last,percentage_of_teams_actual_goals_last_5,percentage_of_teams_xg_goals_last_5,percentage_of_teams_actual_assists_last_5,percentage_of_teams_xg_assists_last_5,count,fpl_game_week_y,scored,conceded,cleen_sheet_prob,date,predicted_points_actual,predicted_points_xg
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,26,1.5659930465439331,0.8874388421577344,0.3793953834955078,2019-02-09,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,27,0.781197149056261,2.2561202968398915,0.0795053463024292,2019-02-24,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,28,1.903156687385101,1.0188515675940493,0.3894589795847194,2019-02-27,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,29,0.6548796712066242,2.3348550456149844,0.0546078636249638,2019-03-02,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,30,0.8012418251530032,1.9655978994450347,0.1293578949577574,2019-03-09,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,32,1.224467465509457,1.4274876376987249,0.258064524997798,2019-03-30,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,33,0.758920178139632,2.0169060243413504,0.1169005402076425,2019-04-05,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,34,1.4462822815515477,1.1823178455660848,0.3194354257029748,2019-04-13,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,2,35,2.221343300921002,2.8457691418670312,0.4962107375672872,2019-04-20,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,36,1.2537336585875072,1.2541928380765115,0.289431760984259,2019-04-27,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,37,0.882052577372198,1.3959908029018568,0.231010453436752,2019-05-04,1.0,1.0
Southampton,Guido Carrillo,9.0,FWD,2017-18,26,22.5,0.0,0.0,0.0,0.0,1,38,1.6581048733247783,0.5715333537670356,0.4402270447845988,2019-05-12,1.0,1.0
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,26,1.5659930465439331,0.8874388421577344,0.3793953834955078,2019-02-09,3.3189912114218676,4.8129485778247805
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,27,0.781197149056261,2.2561202968398915,0.0795053463024292,2019-02-24,2.5482236357361856,3.293485715935859
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,28,1.903156687385101,1.0188515675940493,0.3894589795847194,2019-02-27,3.53135299201578,5.346964471781166
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,29,0.6548796712066242,2.3348550456149844,0.0546078636249638,2019-03-02,2.4475356663489385,3.0722908726800577
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,30,0.8012418251530032,1.9655978994450347,0.1293578949577574,2019-03-09,2.610102990049559,3.3744876912455246
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,32,1.224467465509457,1.4274876376987249,0.258064524997798,2019-03-30,2.9927450043034725,4.160886966399494
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,33,0.758920178139632,2.0169060243413504,0.1169005402076425,2019-04-05,2.572252647091422,3.2962624970366305
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,34,1.4462822815515477,1.1823178455660848,0.3194354257029748,2019-04-13,3.1872047946339035,4.5669580912340795
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,2,35,2.221343300921002,2.8457691418670312,0.4962107375672872,2019-04-20,3.8290167181198886,5.948178227198524
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,36,1.2537336585875072,1.2541928380765115,0.289431760984259,2019-04-27,3.0416719561367636,4.237733866429245
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,37,0.882052577372198,1.3959908029018568,0.231010453436752,2019-05-04,2.760241999860071,3.6017201586731478
Southampton,Dušan Tadić,11.0,MID,2017-18,26,67.5,0.0,0.10200000000000002,0.2,0.348,1,38,1.6581048733247783,0.5715333537670356,0.4402270447845988,2019-05-12,3.435089968779466,5.0169220179313045
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,26,1.5659930465439331,0.8874388421577344,0.3793953834955078,2019-02-09,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,27,0.781197149056261,2.2561202968398915,0.0795053463024292,2019-02-24,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,28,1.903156687385101,1.0188515675940493,0.3894589795847194,2019-02-27,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,29,0.6548796712066242,2.3348550456149844,0.0546078636249638,2019-03-02,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,30,0.8012418251530032,1.9655978994450347,0.1293578949577574,2019-03-09,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,32,1.224467465509457,1.4274876376987249,0.258064524997798,2019-03-30,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,33,0.758920178139632,2.0169060243413504,0.1169005402076425,2019-04-05,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,34,1.4462822815515477,1.1823178455660848,0.3194354257029748,2019-04-13,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,2,35,2.221343300921002,2.8457691418670312,0.4962107375672872,2019-04-20,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,36,1.2537336585875072,1.2541928380765115,0.289431760984259,2019-04-27,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,37,0.882052577372198,1.3959908029018568,0.231010453436752,2019-05-04,0.0,0.0
Southampton,Jérémy Pied,0.0,DEF,2017-18,26,0.0,0.0,0.0,0.2,0.066,1,38,1.6581048733247783,0.5715333537670356,0.4402270447845988,2019-05-12,0.0,0.0
Southampton,Virgil van Dijk,0.0,DEF,2017-18,26,0.0,0.0,0.008,0.0,0.094,1,26,1.5659930465439331,0.8874388421577344,0.3793953834955078,2019-02-09,0.0,0.0
Southampton,Virgil van Dijk,0.0,DEF,2017-18,26,0.0,0.0,0.008,0.0,0.094,1,27,0.781197149056261,2.2561202968398915,0.0795053463024292,2019-02-24,0.0,0.0
Southampton,Virgil van Dijk,0.0,DEF,2017-18,26,0.0,0.0,0.008,0.0,0.094,1,28,1.903156687385101,1.0188515675940493,0.3894589795847194,2019-02-27,0.0,0.0
Southampton,Virgil van Dijk,0.0,DEF,2017-18,26,0.0,0.0,0.008,0.0,0.094,1,29,0.6548796712066242,2.3348550456149844,0.0546078636249638,2019-03-02,0.0,0.0
