game_week,week_day,date,team,opponent,team_xg,opponent_xg,season,game_id,time,team_goals,opponent_goals,fpl_game_week,team_elo,opponent_elo,team_goals_scored_xg_3game_form,team_goals_conceded_xg_3game_form,opponent_goals_scored_xg_3game_form,opponent_goals_conceded_xg_3game_form,team_goals_scored_actual_3game_form,team_goals_conceded_actual_3game_form,opponent_goals_scored_actual_3game_form,opponent_goals_conceded_actual_3game_form,team_goals_scored_xg_5game_form,team_goals_conceded_xg_5game_form,opponent_goals_scored_xg_5game_form,opponent_goals_conceded_xg_5game_form,team_goals_scored_actual_5game_form,team_goals_conceded_actual_5game_form,opponent_goals_scored_actual_5game_form,opponent_goals_conceded_actual_5game_form,team_goals_scored_xg_10game_form,team_goals_conceded_xg_10game_form,opponent_goals_scored_xg_10game_form,opponent_goals_conceded_xg_10game_form,team_goals_scored_actual_10game_form,team_goals_conceded_actual_10game_form,opponent_goals_scored_actual_10game_form,opponent_goals_conceded_actual_10game_form,elodiff,home
6,Sun,24/09/2017,Brighton,Newcastle Utd,1,1.5,2017-2018,59,16:00,1,0,6,1591.984009,1647.846069,0.8,0.833333333,1.766666667,0.833333333,1.333333333,1,2,0.333333333,0.58,1.28,1.36,1.06,0.8,1.4,1.2,0.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-55.86206,1
6,Sun,24/09/2017,Newcastle Utd,Brighton,1.5,1,2017-2018,59,16:00,0,1,6,1647.846069,1591.984009,1.766666667,0.833333333,0.8,0.833333333,2,0.333333333,1.333333333,1,1.36,1.06,0.58,1.28,1.2,0.8,0.8,1.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,55.86206,0
6,Mon,25/09/2017,West Brom,Arsenal,0.9,2.2,2017-2018,60,20:00,0,2,6,1653.421021,1848.001099,0.833333333,0.666666667,1.4,1.5,0.666666667,1.333333333,1,1.333333333,0.94,0.76,1.64,1.34,0.8,0.8,1.4,1.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-194.580078,0
6,Mon,25/09/2017,Arsenal,West Brom,2.2,0.9,2017-2018,60,20:00,2,0,6,1848.001099,1653.421021,1.4,1.5,0.833333333,0.666666667,1,1.333333333,0.666666667,1.333333333,1.64,1.34,0.94,0.76,1.4,1.6,0.8,0.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,194.580078,1
7,Sat,30/09/2017,Manchester City,Chelsea,0.9,0.5,2017-2018,61,17:30,1,0,7,1924.168457,1946.881226,3.4,0.6,1,1.2,5.333333333,0,2,0.333333333,2.54,0.58,0.94,0.94,3.8,0.4,2,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-22.712769,0
7,Sat,30/09/2017,Chelsea,Manchester City,0.5,0.9,2017-2018,61,17:30,0,1,7,1946.881226,1924.168457,1,1.2,3.4,0.6,2,0.333333333,5.333333333,0,0.94,0.94,2.54,0.58,2,0.4,3.8,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,22.712769,1
7,Sat,30/09/2017,Tottenham,Huddersfield,1.5,0.2,2017-2018,62,12:30,4,0,7,1914.37439,1533.147583,1.366666667,0.566666667,0.466666667,1.1,2,0.666666667,0.333333333,1,1.42,0.66,0.62,0.94,1.6,1,0.4,0.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,381.226807,0
7,Sat,30/09/2017,Huddersfield,Tottenham,0.2,1.5,2017-2018,62,12:30,0,4,7,1533.147583,1914.37439,0.466666667,1.1,1.366666667,0.566666667,0.333333333,1,2,0.666666667,0.62,0.94,1.42,0.66,0.4,0.6,1.6,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-381.226807,1
7,Sat,30/09/2017,Southampton,Stoke City,1.4,2.4,2017-2018,63,15:00,1,2,7,1694.167114,1676.452393,0.766666667,1.3,0.9,1.833333333,0.333333333,1,1,2.666666667,1.02,1.46,0.94,1.56,0.8,1,1,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,17.714721,0
7,Sat,30/09/2017,Stoke City,Southampton,2.4,1.4,2017-2018,63,15:00,2,1,7,1676.452393,1694.167114,0.9,1.833333333,0.766666667,1.3,1,2.666666667,0.333333333,1,0.94,1.56,1.02,1.46,1,1.8,0.8,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-17.714721,1
7,Sat,30/09/2017,Swansea City,West Ham,0.2,0.7,2017-2018,64,15:00,0,1,7,1658.412476,1667.865234,1.033333333,1.1,0.866666667,0.766666667,0.333333333,1,1.333333333,1,0.84,1.44,1.04,1.34,0.6,1.4,1.2,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-9.452758,0
